activity,superclass,class,step,organ,mechanism,keywords
Spicy Food,Chemical Stimulation,Spicy Food,1,mouth and stomach,The spicy food stimulus is ingested and begins interacting with receptors and tissues in the mouth and stomach.,"chili, hot sauce, curry, spicy"
Spicy Food,Chemical Stimulation,Spicy Food,2,small intestine,"Components of the spicy food pass into the small intestine, where they are absorbed through the intestinal epithelium into the bloodstream.","chili, hot sauce, curry, spicy"
Spicy Food,Chemical Stimulation,Spicy Food,3,liver,"The liver receives the absorbed molecules via the portal circulation and begins metabolizing them, shaping how strongly they can act on the body.","chili, hot sauce, curry, spicy"
Spicy Food,Chemical Stimulation,Spicy Food,4,target organ,"In key target organs, the main physiological effect occurs: Capsaicin activates TRPV1 receptors, releasing endorphins that cause a heat sensation.","chili, hot sauce, curry, spicy"
Spicy Food,Chemical Stimulation,Spicy Food,5,kidney,"The kidneys filter the blood, adjusting water and electrolyte excretion in response to the altered internal environment.","chili, hot sauce, curry, spicy"
Spicy Food,Chemical Stimulation,Spicy Food,6,whole body,"Multiple organ systems adapt together, integrating the stimulus into overall homeostasis.","chili, hot sauce, curry, spicy"
Nicotine Exposure,Chemical Stimulation,Nicotine Exposure,1,mouth and stomach,The nicotine exposure stimulus is ingested and begins interacting with receptors and tissues in the mouth and stomach.,"smoking, cigarette, vape"
Nicotine Exposure,Chemical Stimulation,Nicotine Exposure,2,small intestine,"Components of the nicotine exposure pass into the small intestine, where they are absorbed through the intestinal epithelium into the bloodstream.","smoking, cigarette, vape"
Nicotine Exposure,Chemical Stimulation,Nicotine Exposure,3,liver,"The liver receives the absorbed molecules via the portal circulation and begins metabolizing them, shaping how strongly they can act on the body.","smoking, cigarette, vape"
Nicotine Exposure,Chemical Stimulation,Nicotine Exposure,4,target organ,"In key target organs, the main physiological effect occurs: Nicotine releases dopamine, creating short-term stimulation and dependency.","smoking, cigarette, vape"
Nicotine Exposure,Chemical Stimulation,Nicotine Exposure,5,kidney,"The kidneys filter the blood, adjusting water and electrolyte excretion in response to the altered internal environment.","smoking, cigarette, vape"
Nicotine Exposure,Chemical Stimulation,Nicotine Exposure,6,whole body,"Multiple organ systems adapt together, integrating the stimulus into overall homeostasis.","smoking, cigarette, vape"
Theanine Intake,Chemical Stimulation,Theanine Intake,1,mouth and stomach,The theanine intake stimulus is ingested and begins interacting with receptors and tissues in the mouth and stomach.,"green tea, matcha, tea leaves"
Theanine Intake,Chemical Stimulation,Theanine Intake,2,small intestine,"Components of the theanine intake pass into the small intestine, where they are absorbed through the intestinal epithelium into the bloodstream.","green tea, matcha, tea leaves"
Theanine Intake,Chemical Stimulation,Theanine Intake,3,liver,"The liver receives the absorbed molecules via the portal circulation and begins metabolizing them, shaping how strongly they can act on the body.","green tea, matcha, tea leaves"
Theanine Intake,Chemical Stimulation,Theanine Intake,4,target organ,"In key target organs, the main physiological effect occurs: Theanine increases alpha brain waves, improving relaxation and focus.","green tea, matcha, tea leaves"
Theanine Intake,Chemical Stimulation,Theanine Intake,5,kidney,"The kidneys filter the blood, adjusting water and electrolyte excretion in response to the altered internal environment.","green tea, matcha, tea leaves"
Theanine Intake,Chemical Stimulation,Theanine Intake,6,whole body,"Multiple organ systems adapt together, integrating the stimulus into overall homeostasis.","green tea, matcha, tea leaves"
Cocoa Consumption,Chemical Stimulation,Cocoa Consumption,1,mouth and stomach,The cocoa consumption stimulus is ingested and begins interacting with receptors and tissues in the mouth and stomach.,"chocolate, cocoa, dark chocolate"
Cocoa Consumption,Chemical Stimulation,Cocoa Consumption,2,small intestine,"Components of the cocoa consumption pass into the small intestine, where they are absorbed through the intestinal epithelium into the bloodstream.","chocolate, cocoa, dark chocolate"
Cocoa Consumption,Chemical Stimulation,Cocoa Consumption,3,liver,"The liver receives the absorbed molecules via the portal circulation and begins metabolizing them, shaping how strongly they can act on the body.","chocolate, cocoa, dark chocolate"
Cocoa Consumption,Chemical Stimulation,Cocoa Consumption,4,target organ,"In key target organs, the main physiological effect occurs: Cocoa flavanols improve vascular function and mood.","chocolate, cocoa, dark chocolate"
Cocoa Consumption,Chemical Stimulation,Cocoa Consumption,5,kidney,"The kidneys filter the blood, adjusting water and electrolyte excretion in response to the altered internal environment.","chocolate, cocoa, dark chocolate"
Cocoa Consumption,Chemical Stimulation,Cocoa Consumption,6,whole body,"Multiple organ systems adapt together, integrating the stimulus into overall homeostasis.","chocolate, cocoa, dark chocolate"
Vitamin C Intake,Chemical Stimulation,Vitamin C Intake,1,mouth and stomach,The vitamin c intake stimulus is ingested and begins interacting with receptors and tissues in the mouth and stomach.,"orange, lemon, juice, vitamin C"
Vitamin C Intake,Chemical Stimulation,Vitamin C Intake,2,small intestine,"Components of the vitamin c intake pass into the small intestine, where they are absorbed through the intestinal epithelium into the bloodstream.","orange, lemon, juice, vitamin C"
Vitamin C Intake,Chemical Stimulation,Vitamin C Intake,3,liver,"The liver receives the absorbed molecules via the portal circulation and begins metabolizing them, shaping how strongly they can act on the body.","orange, lemon, juice, vitamin C"
Vitamin C Intake,Chemical Stimulation,Vitamin C Intake,4,target organ,"In key target organs, the main physiological effect occurs: Antioxidant effect supports immune function and collagen synthesis.","orange, lemon, juice, vitamin C"
Vitamin C Intake,Chemical Stimulation,Vitamin C Intake,5,kidney,"The kidneys filter the blood, adjusting water and electrolyte excretion in response to the altered internal environment.","orange, lemon, juice, vitamin C"
Vitamin C Intake,Chemical Stimulation,Vitamin C Intake,6,whole body,"Multiple organ systems adapt together, integrating the stimulus into overall homeostasis.","orange, lemon, juice, vitamin C"
High Salt Intake,Chemical Stimulation,High Salt Intake,1,mouth and stomach,The high salt intake stimulus is ingested and begins interacting with receptors and tissues in the mouth and stomach.,"salty, chips, soup, instant noodles"
High Salt Intake,Chemical Stimulation,High Salt Intake,2,small intestine,"Components of the high salt intake pass into the small intestine, where they are absorbed through the intestinal epithelium into the bloodstream.","salty, chips, soup, instant noodles"
High Salt Intake,Chemical Stimulation,High Salt Intake,3,liver,"The liver receives the absorbed molecules via the portal circulation and begins metabolizing them, shaping how strongly they can act on the body.","salty, chips, soup, instant noodles"
High Salt Intake,Chemical Stimulation,High Salt Intake,4,target organ,"In key target organs, the main physiological effect occurs: Sodium raises blood pressure and causes thirst and water retention.","salty, chips, soup, instant noodles"
High Salt Intake,Chemical Stimulation,High Salt Intake,5,kidney,"The kidneys filter the blood, adjusting water and electrolyte excretion in response to the altered internal environment.","salty, chips, soup, instant noodles"
High Salt Intake,Chemical Stimulation,High Salt Intake,6,whole body,"Multiple organ systems adapt together, integrating the stimulus into overall homeostasis.","salty, chips, soup, instant noodles"
Energy Drink Intake,Chemical Stimulation,Energy Drink Intake,1,mouth and stomach,The energy drink intake stimulus is ingested and begins interacting with receptors and tissues in the mouth and stomach.,"Red Bull, Monster, energy shot"
Energy Drink Intake,Chemical Stimulation,Energy Drink Intake,2,small intestine,"Components of the energy drink intake pass into the small intestine, where they are absorbed through the intestinal epithelium into the bloodstream.","Red Bull, Monster, energy shot"
Energy Drink Intake,Chemical Stimulation,Energy Drink Intake,3,liver,"The liver receives the absorbed molecules via the portal circulation and begins metabolizing them, shaping how strongly they can act on the body.","Red Bull, Monster, energy shot"
Energy Drink Intake,Chemical Stimulation,Energy Drink Intake,4,target organ,"In key target organs, the main physiological effect occurs: Caffeine and taurine increase adrenaline and blood glucose levels.","Red Bull, Monster, energy shot"
Energy Drink Intake,Chemical Stimulation,Energy Drink Intake,5,kidney,"The kidneys filter the blood, adjusting water and electrolyte excretion in response to the altered internal environment.","Red Bull, Monster, energy shot"
Energy Drink Intake,Chemical Stimulation,Energy Drink Intake,6,whole body,"Multiple organ systems adapt together, integrating the stimulus into overall homeostasis.","Red Bull, Monster, energy shot"
High Protein Meal,Dietary Behavior,High Protein Meal,1,mouth and stomach,The high protein meal stimulus is ingested and begins interacting with receptors and tissues in the mouth and stomach.,"eggs, chicken, tofu, protein shake"
High Protein Meal,Dietary Behavior,High Protein Meal,2,small intestine,"Components of the high protein meal pass into the small intestine, where they are absorbed through the intestinal epithelium into the bloodstream.","eggs, chicken, tofu, protein shake"
High Protein Meal,Dietary Behavior,High Protein Meal,3,liver,"The liver receives the absorbed molecules via the portal circulation and begins metabolizing them, shaping how strongly they can act on the body.","eggs, chicken, tofu, protein shake"
High Protein Meal,Dietary Behavior,High Protein Meal,4,target organ,"In key target organs, the main physiological effect occurs: Provides amino acids to support muscle repair and synthesis.","eggs, chicken, tofu, protein shake"
High Protein Meal,Dietary Behavior,High Protein Meal,5,kidney,"The kidneys filter the blood, adjusting water and electrolyte excretion in response to the altered internal environment.","eggs, chicken, tofu, protein shake"
High Protein Meal,Dietary Behavior,High Protein Meal,6,whole body,"Multiple organ systems adapt together, integrating the stimulus into overall homeostasis.","eggs, chicken, tofu, protein shake"
High Fat Meal,Dietary Behavior,High Fat Meal,1,mouth and stomach,The high fat meal stimulus is ingested and begins interacting with receptors and tissues in the mouth and stomach.,"fried, bacon, cheese, creamy"
High Fat Meal,Dietary Behavior,High Fat Meal,2,small intestine,"Components of the high fat meal pass into the small intestine, where they are absorbed through the intestinal epithelium into the bloodstream.","fried, bacon, cheese, creamy"
High Fat Meal,Dietary Behavior,High Fat Meal,3,liver,"The liver receives the absorbed molecules via the portal circulation and begins metabolizing them, shaping how strongly they can act on the body.","fried, bacon, cheese, creamy"
High Fat Meal,Dietary Behavior,High Fat Meal,4,target organ,"In key target organs, the main physiological effect occurs: Fat oxidation supplies energy but may raise LDL levels.","fried, bacon, cheese, creamy"
High Fat Meal,Dietary Behavior,High Fat Meal,5,kidney,"The kidneys filter the blood, adjusting water and electrolyte excretion in response to the altered internal environment.","fried, bacon, cheese, creamy"
High Fat Meal,Dietary Behavior,High Fat Meal,6,whole body,"Multiple organ systems adapt together, integrating the stimulus into overall homeostasis.","fried, bacon, cheese, creamy"
Probiotic Intake,Dietary Behavior,Probiotic Intake,1,mouth and stomach,The probiotic intake stimulus is ingested and begins interacting with receptors and tissues in the mouth and stomach.,"yogurt, kefir, kimchi, kombucha"
Probiotic Intake,Dietary Behavior,Probiotic Intake,2,small intestine,"Components of the probiotic intake pass into the small intestine, where they are absorbed through the intestinal epithelium into the bloodstream.","yogurt, kefir, kimchi, kombucha"
Probiotic Intake,Dietary Behavior,Probiotic Intake,3,liver,"The liver receives the absorbed molecules via the portal circulation and begins metabolizing them, shaping how strongly they can act on the body.","yogurt, kefir, kimchi, kombucha"
Probiotic Intake,Dietary Behavior,Probiotic Intake,4,target organ,"In key target organs, the main physiological effect occurs: Restores gut flora balance and supports immunity.","yogurt, kefir, kimchi, kombucha"
Probiotic Intake,Dietary Behavior,Probiotic Intake,5,kidney,"The kidneys filter the blood, adjusting water and electrolyte excretion in response to the altered internal environment.","yogurt, kefir, kimchi, kombucha"
Probiotic Intake,Dietary Behavior,Probiotic Intake,6,whole body,"Multiple organ systems adapt together, integrating the stimulus into overall homeostasis.","yogurt, kefir, kimchi, kombucha"
Spices and Herbs,Dietary Behavior,Spices and Herbs,1,mouth and stomach,The spices and herbs stimulus is ingested and begins interacting with receptors and tissues in the mouth and stomach.,"pepper, herbs, curry, garlic"
Spices and Herbs,Dietary Behavior,Spices and Herbs,2,small intestine,"Components of the spices and herbs pass into the small intestine, where they are absorbed through the intestinal epithelium into the bloodstream.","pepper, herbs, curry, garlic"
Spices and Herbs,Dietary Behavior,Spices and Herbs,3,liver,"The liver receives the absorbed molecules via the portal circulation and begins metabolizing them, shaping how strongly they can act on the body.","pepper, herbs, curry, garlic"
Spices and Herbs,Dietary Behavior,Spices and Herbs,4,target organ,"In key target organs, the main physiological effect occurs: Stimulate appetite and digestion through sensory pathways.","pepper, herbs, curry, garlic"
Spices and Herbs,Dietary Behavior,Spices and Herbs,5,kidney,"The kidneys filter the blood, adjusting water and electrolyte excretion in response to the altered internal environment.","pepper, herbs, curry, garlic"
Spices and Herbs,Dietary Behavior,Spices and Herbs,6,whole body,"Multiple organ systems adapt together, integrating the stimulus into overall homeostasis.","pepper, herbs, curry, garlic"
Overeating,Dietary Behavior,Overeating,1,mouth and stomach,The overeating stimulus is ingested and begins interacting with receptors and tissues in the mouth and stomach.,"buffet, binge, feast, overeating"
Overeating,Dietary Behavior,Overeating,2,small intestine,"Components of the overeating pass into the small intestine, where they are absorbed through the intestinal epithelium into the bloodstream.","buffet, binge, feast, overeating"
Overeating,Dietary Behavior,Overeating,3,liver,"The liver receives the absorbed molecules via the portal circulation and begins metabolizing them, shaping how strongly they can act on the body.","buffet, binge, feast, overeating"
Overeating,Dietary Behavior,Overeating,4,target organ,"In key target organs, the main physiological effect occurs: Stomach distention triggers insulin spikes and satiety hormones.","buffet, binge, feast, overeating"
Overeating,Dietary Behavior,Overeating,5,kidney,"The kidneys filter the blood, adjusting water and electrolyte excretion in response to the altered internal environment.","buffet, binge, feast, overeating"
Overeating,Dietary Behavior,Overeating,6,whole body,"Multiple organ systems adapt together, integrating the stimulus into overall homeostasis.","buffet, binge, feast, overeating"
Intermittent Fasting,Dietary Behavior,Intermittent Fasting,1,mouth and stomach,The intermittent fasting stimulus is ingested and begins interacting with receptors and tissues in the mouth and stomach.,"fasting, skip meal, IF, cleanse"
Intermittent Fasting,Dietary Behavior,Intermittent Fasting,2,small intestine,"Components of the intermittent fasting pass into the small intestine, where they are absorbed through the intestinal epithelium into the bloodstream.","fasting, skip meal, IF, cleanse"
Intermittent Fasting,Dietary Behavior,Intermittent Fasting,3,liver,"The liver receives the absorbed molecules via the portal circulation and begins metabolizing them, shaping how strongly they can act on the body.","fasting, skip meal, IF, cleanse"
Intermittent Fasting,Dietary Behavior,Intermittent Fasting,4,target organ,"In key target organs, the main physiological effect occurs: Enhances insulin sensitivity and activates autophagy.","fasting, skip meal, IF, cleanse"
Intermittent Fasting,Dietary Behavior,Intermittent Fasting,5,kidney,"The kidneys filter the blood, adjusting water and electrolyte excretion in response to the altered internal environment.","fasting, skip meal, IF, cleanse"
Intermittent Fasting,Dietary Behavior,Intermittent Fasting,6,whole body,"Multiple organ systems adapt together, integrating the stimulus into overall homeostasis.","fasting, skip meal, IF, cleanse"
Carbohydrate Intake,Dietary Behavior,Carbohydrate Intake,1,mouth and stomach,The carbohydrate intake stimulus is ingested and begins interacting with receptors and tissues in the mouth and stomach.,"rice, bread, pasta, cereal"
Carbohydrate Intake,Dietary Behavior,Carbohydrate Intake,2,small intestine,"Components of the carbohydrate intake pass into the small intestine, where they are absorbed through the intestinal epithelium into the bloodstream.","rice, bread, pasta, cereal"
Carbohydrate Intake,Dietary Behavior,Carbohydrate Intake,3,liver,"The liver receives the absorbed molecules via the portal circulation and begins metabolizing them, shaping how strongly they can act on the body.","rice, bread, pasta, cereal"
Carbohydrate Intake,Dietary Behavior,Carbohydrate Intake,4,target organ,"In key target organs, the main physiological effect occurs: Carbohydrates convert into glucose, fueling metabolism.","rice, bread, pasta, cereal"
Carbohydrate Intake,Dietary Behavior,Carbohydrate Intake,5,kidney,"The kidneys filter the blood, adjusting water and electrolyte excretion in response to the altered internal environment.","rice, bread, pasta, cereal"
Carbohydrate Intake,Dietary Behavior,Carbohydrate Intake,6,whole body,"Multiple organ systems adapt together, integrating the stimulus into overall homeostasis.","rice, bread, pasta, cereal"
Hydration,Dietary Behavior,Hydration,1,mouth and stomach,The hydration stimulus is ingested and begins interacting with receptors and tissues in the mouth and stomach.,"water, hydration, drink, thirst"
Hydration,Dietary Behavior,Hydration,2,small intestine,"Components of the hydration pass into the small intestine, where they are absorbed through the intestinal epithelium into the bloodstream.","water, hydration, drink, thirst"
Hydration,Dietary Behavior,Hydration,3,liver,"The liver receives the absorbed molecules via the portal circulation and begins metabolizing them, shaping how strongly they can act on the body.","water, hydration, drink, thirst"
Hydration,Dietary Behavior,Hydration,4,target organ,"In key target organs, the main physiological effect occurs: Regulates temperature and electrolyte balance.","water, hydration, drink, thirst"
Hydration,Dietary Behavior,Hydration,5,kidney,"The kidneys filter the blood, adjusting water and electrolyte excretion in response to the altered internal environment.","water, hydration, drink, thirst"
Hydration,Dietary Behavior,Hydration,6,whole body,"Multiple organ systems adapt together, integrating the stimulus into overall homeostasis.","water, hydration, drink, thirst"
Healthy Fats,Dietary Behavior,Healthy Fats,1,mouth and stomach,The healthy fats stimulus is ingested and begins interacting with receptors and tissues in the mouth and stomach.,"olive oil, avocado, nuts, fish oil"
Healthy Fats,Dietary Behavior,Healthy Fats,2,small intestine,"Components of the healthy fats pass into the small intestine, where they are absorbed through the intestinal epithelium into the bloodstream.","olive oil, avocado, nuts, fish oil"
Healthy Fats,Dietary Behavior,Healthy Fats,3,liver,"The liver receives the absorbed molecules via the portal circulation and begins metabolizing them, shaping how strongly they can act on the body.","olive oil, avocado, nuts, fish oil"
Healthy Fats,Dietary Behavior,Healthy Fats,4,target organ,"In key target organs, the main physiological effect occurs: Unsaturated fats improve cholesterol ratios and brain function.","olive oil, avocado, nuts, fish oil"
Healthy Fats,Dietary Behavior,Healthy Fats,5,kidney,"The kidneys filter the blood, adjusting water and electrolyte excretion in response to the altered internal environment.","olive oil, avocado, nuts, fish oil"
Healthy Fats,Dietary Behavior,Healthy Fats,6,whole body,"Multiple organ systems adapt together, integrating the stimulus into overall homeostasis.","olive oil, avocado, nuts, fish oil"
Eating Spicy Food,Dietary Behavior,Eating Spicy Food,1,mouth and stomach,The eating spicy food stimulus is ingested and begins interacting with receptors and tissues in the mouth and stomach.,"spicy, hot pot, chili, pepper"
Eating Spicy Food,Dietary Behavior,Eating Spicy Food,2,small intestine,"Components of the eating spicy food pass into the small intestine, where they are absorbed through the intestinal epithelium into the bloodstream.","spicy, hot pot, chili, pepper"
Eating Spicy Food,Dietary Behavior,Eating Spicy Food,3,liver,"The liver receives the absorbed molecules via the portal circulation and begins metabolizing them, shaping how strongly they can act on the body.","spicy, hot pot, chili, pepper"
Eating Spicy Food,Dietary Behavior,Eating Spicy Food,4,target organ,"In key target organs, the main physiological effect occurs: Heat sensation promotes sweating and endorphin release.","spicy, hot pot, chili, pepper"
Eating Spicy Food,Dietary Behavior,Eating Spicy Food,5,kidney,"The kidneys filter the blood, adjusting water and electrolyte excretion in response to the altered internal environment.","spicy, hot pot, chili, pepper"
Eating Spicy Food,Dietary Behavior,Eating Spicy Food,6,whole body,"Multiple organ systems adapt together, integrating the stimulus into overall homeostasis.","spicy, hot pot, chili, pepper"
Running,Physical Activity,Running,1,skeletal muscle,"Skeletal muscle fibers contract repeatedly, sharply increasing local ATP demand and heat production.","running, jogging, marathon"
Running,Physical Activity,Running,2,heart,The heart increases rate and stroke volume to deliver more oxygenated blood to active muscles.,"running, jogging, marathon"
Running,Physical Activity,Running,3,lungs,"Breathing becomes deeper and faster, enhancing gas exchange to keep up with oxygen demand and CO2 removal.","running, jogging, marathon"
Running,Physical Activity,Running,4,blood vessels,"Blood vessels in working muscles dilate while some others constrict, redistributing blood flow.","running, jogging, marathon"
Running,Physical Activity,Running,5,endocrine system,"Hormonal and metabolic signals adjust fuel use and recovery; overall, Increases heart rate and aerobic endurance.","running, jogging, marathon"
Running,Physical Activity,Running,6,brain,"The brain monitors fatigue, coordination, and motivation, deciding whether to maintain or stop the activity.","running, jogging, marathon"
HIIT,Physical Activity,HIIT,1,skeletal muscle,"Skeletal muscle fibers contract repeatedly, sharply increasing local ATP demand and heat production.","HIIT, interval, sprint"
HIIT,Physical Activity,HIIT,2,heart,The heart increases rate and stroke volume to deliver more oxygenated blood to active muscles.,"HIIT, interval, sprint"
HIIT,Physical Activity,HIIT,3,lungs,"Breathing becomes deeper and faster, enhancing gas exchange to keep up with oxygen demand and CO2 removal.","HIIT, interval, sprint"
HIIT,Physical Activity,HIIT,4,blood vessels,"Blood vessels in working muscles dilate while some others constrict, redistributing blood flow.","HIIT, interval, sprint"
HIIT,Physical Activity,HIIT,5,endocrine system,"Hormonal and metabolic signals adjust fuel use and recovery; overall, Boosts metabolism and lactate threshold via intense intervals.","HIIT, interval, sprint"
HIIT,Physical Activity,HIIT,6,brain,"The brain monitors fatigue, coordination, and motivation, deciding whether to maintain or stop the activity.","HIIT, interval, sprint"
Yoga,Physical Activity,Yoga,1,skeletal muscle,"Skeletal muscle fibers contract repeatedly, sharply increasing local ATP demand and heat production.","yoga, stretching, mindfulness"
Yoga,Physical Activity,Yoga,2,heart,The heart increases rate and stroke volume to deliver more oxygenated blood to active muscles.,"yoga, stretching, mindfulness"
Yoga,Physical Activity,Yoga,3,lungs,"Breathing becomes deeper and faster, enhancing gas exchange to keep up with oxygen demand and CO2 removal.","yoga, stretching, mindfulness"
Yoga,Physical Activity,Yoga,4,blood vessels,"Blood vessels in working muscles dilate while some others constrict, redistributing blood flow.","yoga, stretching, mindfulness"
Yoga,Physical Activity,Yoga,5,endocrine system,"Hormonal and metabolic signals adjust fuel use and recovery; overall, Activates parasympathetic system and reduces stress.","yoga, stretching, mindfulness"
Yoga,Physical Activity,Yoga,6,brain,"The brain monitors fatigue, coordination, and motivation, deciding whether to maintain or stop the activity.","yoga, stretching, mindfulness"
Strength Training,Physical Activity,Strength Training,1,skeletal muscle,"Skeletal muscle fibers contract repeatedly, sharply increasing local ATP demand and heat production.","gym, lifting, weights, resistance"
Strength Training,Physical Activity,Strength Training,2,heart,The heart increases rate and stroke volume to deliver more oxygenated blood to active muscles.,"gym, lifting, weights, resistance"
Strength Training,Physical Activity,Strength Training,3,lungs,"Breathing becomes deeper and faster, enhancing gas exchange to keep up with oxygen demand and CO2 removal.","gym, lifting, weights, resistance"
Strength Training,Physical Activity,Strength Training,4,blood vessels,"Blood vessels in working muscles dilate while some others constrict, redistributing blood flow.","gym, lifting, weights, resistance"
Strength Training,Physical Activity,Strength Training,5,endocrine system,"Hormonal and metabolic signals adjust fuel use and recovery; overall, Muscle fibers micro-tear, stimulating protein synthesis and hypertrophy.","gym, lifting, weights, resistance"
Strength Training,Physical Activity,Strength Training,6,brain,"The brain monitors fatigue, coordination, and motivation, deciding whether to maintain or stop the activity.","gym, lifting, weights, resistance"
Stretching,Physical Activity,Stretching,1,skeletal muscle,"Skeletal muscle fibers contract repeatedly, sharply increasing local ATP demand and heat production.","stretch, warm-up, cool-down"
Stretching,Physical Activity,Stretching,2,heart,The heart increases rate and stroke volume to deliver more oxygenated blood to active muscles.,"stretch, warm-up, cool-down"
Stretching,Physical Activity,Stretching,3,lungs,"Breathing becomes deeper and faster, enhancing gas exchange to keep up with oxygen demand and CO2 removal.","stretch, warm-up, cool-down"
Stretching,Physical Activity,Stretching,4,blood vessels,"Blood vessels in working muscles dilate while some others constrict, redistributing blood flow.","stretch, warm-up, cool-down"
Stretching,Physical Activity,Stretching,5,endocrine system,"Hormonal and metabolic signals adjust fuel use and recovery; overall, Enhances flexibility and promotes blood circulation.","stretch, warm-up, cool-down"
Stretching,Physical Activity,Stretching,6,brain,"The brain monitors fatigue, coordination, and motivation, deciding whether to maintain or stop the activity.","stretch, warm-up, cool-down"
Swimming,Physical Activity,Swimming,1,skeletal muscle,"Skeletal muscle fibers contract repeatedly, sharply increasing local ATP demand and heat production.","swimming, pool, freestyle"
Swimming,Physical Activity,Swimming,2,heart,The heart increases rate and stroke volume to deliver more oxygenated blood to active muscles.,"swimming, pool, freestyle"
Swimming,Physical Activity,Swimming,3,lungs,"Breathing becomes deeper and faster, enhancing gas exchange to keep up with oxygen demand and CO2 removal.","swimming, pool, freestyle"
Swimming,Physical Activity,Swimming,4,blood vessels,"Blood vessels in working muscles dilate while some others constrict, redistributing blood flow.","swimming, pool, freestyle"
Swimming,Physical Activity,Swimming,5,endocrine system,"Hormonal and metabolic signals adjust fuel use and recovery; overall, Full-body workout improving endurance and lung capacity.","swimming, pool, freestyle"
Swimming,Physical Activity,Swimming,6,brain,"The brain monitors fatigue, coordination, and motivation, deciding whether to maintain or stop the activity.","swimming, pool, freestyle"
Cycling,Physical Activity,Cycling,1,skeletal muscle,"Skeletal muscle fibers contract repeatedly, sharply increasing local ATP demand and heat production.","cycling, bike, spin"
Cycling,Physical Activity,Cycling,2,heart,The heart increases rate and stroke volume to deliver more oxygenated blood to active muscles.,"cycling, bike, spin"
Cycling,Physical Activity,Cycling,3,lungs,"Breathing becomes deeper and faster, enhancing gas exchange to keep up with oxygen demand and CO2 removal.","cycling, bike, spin"
Cycling,Physical Activity,Cycling,4,blood vessels,"Blood vessels in working muscles dilate while some others constrict, redistributing blood flow.","cycling, bike, spin"
